unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
7085,5,5:00,"Jon Jones",5,0,0,1,2,7,13,8,9,11,12,0:31,0:00
12585,3,1:03,"Valentina Shevchenko",1,0,0,1,1,7,19,0,1,6,8,1:17,0:00
12587,3,1:03,"Valentina Shevchenko",2,0,0,1,1,3,12,3,3,4,4,1:46,0:00
12589,3,1:03,"Valentina Shevchenko",3,0,0,1,1,16,17,0,0,1,1,0:29,0:00
12076,1,1:59,"Justin Tafa",1,1,0,0,0,5,9,0,1,5,5,0:02,0:00
3030,3,5:00,"Dan Ige",1,0,0,1,2,15,34,10,10,1,1,0:51,0:02
3032,3,5:00,"Dan Ige",2,0,0,0,0,1,5,3,3,0,0,0:00,4:32
3034,3,5:00,"Dan Ige",3,0,0,0,0,11,31,2,4,0,0,0:03,1:59
7713,3,5:00,"Derrick Lewis",1,0,0,0,1,2,8,5,5,0,0,0:29,2:25
7715,3,5:00,"Derrick Lewis",2,0,0,0,0,0,9,2,3,0,1,0:08,3:16
7717,3,5:00,"Derrick Lewis",3,0,0,0,0,10,22,1,2,0,0,0:04,3:07
1401,3,5:00,"Trevin Giles",1,0,0,0,0,7,19,1,1,0,0,0:43,3:22
1403,3,5:00,"Trevin Giles",2,0,1,0,0,37,73,3,3,1,1,2:22,0:13
1405,3,5:00,"Trevin Giles",3,0,0,0,0,19,47,2,3,1,1,0:34,0:17
12963,3,5:00,"Lauren Murphy",1,0,0,1,1,28,74,4,6,0,0,0:29,0:03
12965,3,5:00,"Lauren Murphy",2,0,0,1,3,30,68,2,4,1,1,0:22,0:00
12967,3,5:00,"Lauren Murphy",3,0,0,0,0,12,39,3,5,0,0,1:40,0:34
4026,1,0:27,"Khaos Williams",1,1,0,0,1,6,12,4,4,0,1,0:05,0:00
11142,2,1:41,"Mario Bautista",1,0,0,0,0,4,36,0,0,0,2,0:00,0:00
11144,2,1:41,"Mario Bautista",2,1,0,0,0,14,28,0,0,0,1,0:04,0:00
11623,1,0:38,"Domingo Pilarte",1,0,0,0,0,0,3,1,1,0,0,0:00,0:05
9203,3,5:00,"Andre Ewell",1,0,0,0,0,10,37,13,14,4,4,0:02,1:30
9205,3,5:00,"Andre Ewell",2,0,0,0,0,15,45,18,19,1,1,0:00,0:00
9207,3,5:00,"Andre Ewell",3,0,0,0,0,7,41,12,16,0,0,0:00,0:00
13602,3,5:00,"Youssef Zalal",1,0,0,1,5,10,23,2,4,4,4,0:40,1:00
13604,3,5:00,"Youssef Zalal",2,0,2,2,4,2,3,1,1,2,2,3:33,0:16
13606,3,5:00,"Youssef Zalal",3,0,0,3,3,4,11,3,4,3,3,2:25,0:09
2462,1,3:18,"Chan Sung Jung",1,1,0,0,0,46,60,0,0,0,0,0:00,2:12
9723,3,5:00,"Volkan Oezdemir",1,0,0,0,0,4,30,2,3,6,6,0:29,0:47
9725,3,5:00,"Volkan Oezdemir",2,0,0,0,0,6,23,4,6,11,11,0:00,0:31
9727,3,5:00,"Volkan Oezdemir",3,0,0,0,0,18,52,8,9,4,4,0:03,1:20
2758,2,4:32,"Charles Jourdain",1,1,0,0,0,13,32,12,16,3,8,0:19,1:08
2760,2,4:32,"Charles Jourdain",2,1,0,0,0,25,52,11,21,0,0,0:02,0:00
10299,1,1:04,"Da-Un Jung",1,1,0,0,0,5,10,0,0,0,0,0:02,0:00
9515,3,5:00,"Junyong Park",1,0,0,1,3,20,52,6,7,5,5,0:43,0:00
9517,3,5:00,"Junyong Park",2,0,0,3,6,13,41,4,6,1,1,2:12,0:00
9519,3,5:00,"Junyong Park",3,0,0,1,1,26,73,2,2,0,0,0:33,0:07
10001,3,5:00,"Kyung Ho Kang",1,0,0,2,2,8,13,1,1,0,0,4:25,0:00
10003,3,5:00,"Kyung Ho Kang",2,0,0,1,1,4,10,0,0,0,0,4:47,0:00
10005,3,5:00,"Kyung Ho Kang",3,0,0,0,4,5,14,1,1,1,1,3:11,0:17
