unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
9518,3,5:00,"Marc-Andre Barriault",2,0,0,0,0,10,32,2,2,5,7,0:00,2:12
9520,3,5:00,"Marc-Andre Barriault",3,0,0,0,1,7,52,4,7,9,13,0:07,0:33
10002,3,5:00,"Liu Pingyuan",1,0,0,0,0,6,12,0,0,3,3,0:00,4:25
10004,3,5:00,"Liu Pingyuan",2,0,0,0,0,3,6,0,0,2,2,0:00,4:47
10006,3,5:00,"Liu Pingyuan",3,0,0,0,0,7,24,2,2,2,4,0:17,3:11
12062,3,5:00,"Tanner Boser",1,0,0,0,0,3,23,2,2,5,6,0:00,0:00
12064,3,5:00,"Tanner Boser",2,0,0,0,0,6,30,3,3,4,4,0:00,0:00
12066,3,5:00,"Tanner Boser",3,0,0,0,0,4,30,0,1,5,5,0:00,0:00
9492,3,5:00,"Suman Mokhtarian",1,0,0,0,0,4,16,3,7,5,6,0:29,1:36
9494,3,5:00,"Suman Mokhtarian",2,0,0,0,0,3,13,2,4,3,3,0:00,2:44
9496,3,5:00,"Suman Mokhtarian",3,0,0,0,1,7,18,3,8,3,4,0:00,2:29
3181,3,5:00,"Dong Hyun Ma",1,0,0,0,0,0,8,0,1,4,4,0:00,3:11
3183,3,5:00,"Dong Hyun Ma",2,0,0,0,0,4,22,1,2,3,4,0:00,0:00
3185,3,5:00,"Dong Hyun Ma",3,0,0,0,0,2,13,1,2,0,0,0:00,2:54
8994,1,4:17,"Matt Schnell",1,0,0,0,1,16,43,2,6,2,3,0:00,1:14
9970,3,5:00,"Said Nurmagomedov",1,0,0,0,1,6,52,3,6,7,8,0:00,0:00
9972,3,5:00,"Said Nurmagomedov",2,0,0,0,1,11,36,4,8,8,9,0:00,0:42
9974,3,5:00,"Said Nurmagomedov",3,0,0,0,0,7,43,3,4,6,6,0:14,1:57
13551,1,3:43,"Miranda Granger",1,0,0,0,0,1,3,0,0,3,5,0:06,2:20
10976,3,5:00,"Ryan Benoit",1,0,0,0,1,6,19,10,10,3,3,0:00,0:15
10978,3,5:00,"Ryan Benoit",2,0,0,0,0,18,47,5,9,3,3,0:00,0:00
10980,3,5:00,"Ryan Benoit",3,0,0,0,0,21,35,2,2,0,0,0:00,3:05
12598,5,5:00,"Liz Carmouche",1,0,0,0,0,0,10,2,2,2,7,0:00,0:00
12600,5,5:00,"Liz Carmouche",2,0,0,0,1,1,10,1,2,5,7,0:00,0:00
12602,5,5:00,"Liz Carmouche",3,0,0,0,0,0,8,1,1,4,6,0:00,1:33
12604,5,5:00,"Liz Carmouche",4,0,0,0,2,0,8,0,1,0,3,0:00,3:00
12606,5,5:00,"Liz Carmouche",5,0,0,0,1,0,4,0,1,2,6,0:00,3:17
2344,3,5:00,"Mike Perry",1,0,0,0,0,22,59,4,6,6,6,0:00,0:00
2346,3,5:00,"Mike Perry",2,0,0,0,0,28,58,5,8,8,9,0:51,0:00
2348,3,5:00,"Mike Perry",3,0,0,0,2,6,18,2,3,6,8,2:29,0:00
9352,3,5:00,"Humberto Bandenay",1,0,0,2,4,1,7,4,4,0,0,1:55,0:52
9354,3,5:00,"Humberto Bandenay",2,0,0,1,1,12,29,2,2,0,0,0:21,0:43
9356,3,5:00,"Humberto Bandenay",3,0,0,1,5,10,26,3,3,0,0,1:17,0:34
