unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
31037,6742,688,2,"Rafael Natal",0,40,68,1,7,0,1:23,0,1,24,47,4,7,3,5,21,41,10,18,0,0
31038,6742,688,2,"Michael Kuiper",0,11,32,0,0,0,0:16,0,0,5,24,2,3,1,2,6,19,2,10,0,0
31039,6742,688,3,"Rafael Natal",0,12,14,1,2,1,2:33,0,2,1,3,0,0,1,1,1,2,0,0,1,2
31040,6742,688,3,"Michael Kuiper",1,51,55,0,0,0,2:09,0,0,18,22,0,0,0,0,1,1,0,0,17,21
31041,6909,708,1,"Alexander Gustafsson",1,6,23,0,0,0,0:05,0,0,6,23,0,0,0,0,2,16,0,0,4,7
31042,6909,708,1,"Jared Hamman",0,6,17,0,0,0,0:00,0,0,3,13,0,1,3,3,6,17,0,0,0,0
31043,6428,642,1,"Jared Hamman",0,41,75,0,0,0,0:05,0,0,7,35,3,7,3,5,11,38,1,6,1,3
31044,6428,642,1,"Kyle Kingsbury",0,32,59,4,5,0,2:49,0,0,11,35,6,7,8,9,20,42,4,6,1,3
31045,6428,642,2,"Jared Hamman",0,50,110,0,1,0,0:10,0,0,21,75,5,8,1,3,22,76,3,5,2,5
31046,6428,642,2,"Kyle Kingsbury",0,34,98,3,4,0,1:10,0,0,24,80,4,6,5,11,31,93,1,3,1,1
31047,6428,642,3,"Jared Hamman",0,55,113,0,1,0,0:00,0,0,37,93,6,7,5,6,44,97,4,9,0,0
31048,6428,642,3,"Kyle Kingsbury",0,22,72,2,4,0,0:45,0,0,13,60,0,3,8,8,21,71,0,0,0,0
31049,6975,717,1,"Caio Magalhaes",0,18,24,0,1,4,0:00,0,0,0,0,3,3,0,0,0,0,3,3,0,0
31050,6975,717,1,"Karlos Vemola",0,61,96,2,5,0,4:42,0,2,28,48,1,1,0,0,0,1,0,0,29,48
31051,6975,717,2,"Caio Magalhaes",0,40,60,1,1,1,2:29,0,4,14,27,2,3,2,4,1,4,3,6,14,24
31052,6975,717,2,"Karlos Vemola",0,1,3,0,1,0,0:12,0,0,0,2,1,1,0,0,0,2,1,1,0,0
31053,6306,631,1,"Francis Carmont",0,14,16,1,1,0,2:09,1,2,3,4,1,1,0,0,2,2,0,0,2,3
31054,6306,631,1,"Magnus Cedenblad",0,37,40,0,0,0,2:13,1,4,8,9,0,1,1,2,2,5,0,0,7,7
31055,6306,631,2,"Francis Carmont",0,39,41,1,1,1,1:29,0,4,24,25,0,0,0,0,0,1,0,0,24,24
31056,6306,631,2,"Magnus Cedenblad",0,2,2,0,0,1,0:00,0,0,2,2,0,0,0,0,2,2,0,0,0,0
31057,7101,744,1,"Muhammed Lawal ",0,8,8,1,1,0,--,0,0,8,8,0,0,0,0,0,0,0,0,8,8
31058,7101,744,1,"Mark Kerr ",0,1,1,0,0,0,--,0,0,0,0,0,0,1,1,1,1,0,0,0,0
31059,6939,711,1,"Kazuyuki Fujita ",0,148,160,2,6,0,--,0,0,18,27,16,16,1,1,1,5,4,8,30,31
31060,6939,711,1,"Mark Kerr ",0,24,33,2,4,0,--,0,0,11,16,3,5,1,1,2,4,4,7,9,11
31061,7100,743,1,"Muhammed Lawal ",0,36,49,8,9,0,--,0,0,11,20,4,4,5,5,2,6,8,11,10,12
31062,7100,743,1,"Ryo Kawamura ",0,16,26,0,0,0,--,0,0,3,13,0,0,0,0,1,9,2,4,0,0
31063,7100,743,2,"Muhammed Lawal ",0,36,53,3,3,0,--,0,0,12,27,3,4,6,6,4,17,10,10,7,10
31064,7100,743,2,"Ryo Kawamura ",0,4,24,0,0,0,--,0,0,1,18,2,3,1,3,4,23,0,1,0,0
31065,7100,743,3,"Muhammed Lawal ",0,38,55,4,4,0,--,0,0,9,21,7,8,2,2,1,4,4,5,13,22
31066,7100,743,3,"Ryo Kawamura ",0,4,18,0,0,0,--,0,0,2,16,0,0,0,0,2,13,0,3,0,0
31067,7099,742,1,"Muhammed Lawal ",1,20,51,0,0,0,--,0,0,17,47,3,4,0,0,14,41,2,5,4,5
31068,7099,742,1,"Yukiya Naito ",0,6,18,0,0,0,--,0,0,1,8,1,3,4,7,6,18,0,0,0,0
31069,6403,640,1,"Mauricio Rua",1,32,57,0,0,0,0:06,0,0,18,42,1,1,11,12,25,46,1,1,4,8
31070,6403,640,1,"Corey Anderson",0,41,86,0,0,0,0:25,0,0,21,64,5,7,4,4,23,66,7,9,0,0
31071,6403,640,2,"Mauricio Rua",1,20,40,0,0,0,0:07,0,0,7,25,3,5,4,4,9,26,4,6,1,2
