fight_id,ending_round,ending_time,unique_round_id,round_number,fighter_name,fighter_knockdowns,fighter_total_strikes_landed,fighter_total_strikes_attempted,fighter_takedowns,fighter_takedowns_attempted,fighter_submission_attempts,fighter_reversals,fighter_control_time,fighter_significant_strikes_head_landed,fighter_significant_strikes_head_attempted,fighter_significant_strikes_body_landed,fighter_significant_strikes_body_attempted,fighter_significant_strikes_leg_landed,fighter_significant_strikes_leg_attempted,fighter_significant_strikes_standing_landed,fighter_significant_strikes_standing_attempted,fighter_significant_strikes_clinch_landed,fighter_significant_strikes_clinch_attempted,fighter_significant_strikes_ground_landed,fighter_significant_strikes_ground_attempted,opponent_knockdowns,opponent_total_strikes_landed,opponent_total_strikes_attempted,opponent_takedowns,opponent_takedowns_attempted,opponent_submission_attempts,opponent_control_time,opponent_reversals,opponent_significant_strikes_head_landed,opponent_significant_strikes_head_attempted,opponent_significant_strikes_body_landed,opponent_significant_strikes_body_attempted,opponent_significant_strikes_leg_landed,opponent_significant_strikes_leg_attempted,opponent_significant_strikes_standing_landed,opponent_significant_strikes_standing_attempted,opponent_significant_strikes_clinch_landed,opponent_significant_strikes_clinch_attempted,opponent_significant_strikes_ground_landed,opponent_significant_strikes_ground_attempted
7163,1,4:18,30912,1,"Erik Perez",0,59,81,0,0,1,1,2:34,8,15,7,8,3,3,11,16,2,4,5,6,0,25,44,0,3,2,0:52,0,3,18,2,5,1,1,4,20,2,4,0,0
7164,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7165,1,3:02,29349,1,"Amir Sadollah",0,5,8,0,0,2,0,0:00,0,2,2,3,0,0,2,5,0,0,0,0,0,11,22,1,1,0,2:13,0,4,13,0,1,2,2,2,4,0,0,4,12
7166,3,4:07,26969,1,"Diego Sanchez",0,11,34,0,5,0,0,0:04,8,30,3,3,0,1,6,28,5,6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7166,3,4:07,26971,2,"Diego Sanchez",1,23,46,0,0,1,0,1:23,15,38,4,4,1,1,8,20,6,12,6,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7166,3,4:07,26973,3,"Diego Sanchez",1,22,41,0,3,0,0,0:24,18,37,1,1,1,1,10,22,2,4,8,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7167,3,5:00,26831,1,"Spencer Fisher",0,55,85,0,0,0,0,4:19,15,32,4,4,1,1,3,6,2,2,15,29,0,23,27,1,2,1,0:16,0,6,8,0,1,1,1,1,4,2,2,4,4
7167,3,5:00,26833,2,"Spencer Fisher",0,48,76,0,2,0,0,2:54,11,31,8,10,7,8,10,19,12,17,4,13,0,18,32,1,2,0,0:29,0,4,16,2,3,1,2,1,13,6,7,0,1
7167,3,5:00,26835,3,"Spencer Fisher",0,29,40,1,3,0,0,1:29,6,12,3,5,1,1,10,17,0,1,0,0,0,22,38,0,0,2,1:49,0,5,19,4,5,0,0,7,18,0,0,2,6
7168,3,5:00,31015,1,"Matthew Riddle",0,35,43,1,2,0,0,3:02,5,7,11,16,10,11,0,2,26,32,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7168,3,5:00,31017,2,"Matthew Riddle",0,53,63,1,1,2,0,2:48,2,8,12,14,9,10,0,5,12,14,11,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7168,3,5:00,31019,3,"Matthew Riddle",0,41,45,3,3,0,0,3:19,8,10,3,4,0,0,1,3,4,5,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7169,2,4:46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7170,1,1:08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7171,2,3:40,28259,1,"Matt Brown",0,23,37,0,0,1,0,0:48,8,20,7,9,0,0,6,17,9,12,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
