unique_round_id,%_grappling_control,%_time_standing
7449.0,0.17666666666666667,0.6533333333333333
2908.0,0.6233333333333333,0.31
2910.0,0.62,0.19333333333333333
10215.0,0.0,0.88
10217.0,0.0,1.0
3945.0,0.19,0.81
3947.0,0.006666666666666667,0.9933333333333333
1173.0,0.023333333333333334,0.9233333333333333
1175.0,0.38666666666666666,0.55
10170.0,0.5966666666666667,0.4033333333333333
10172.0,0.65,0.35
12661.0,0.22333333333333333,0.57
12663.0,0.0,1.0
11091.0,0.14,0.86
5457.0,0.0,1.0
5459.0,0.0,1.0
5461.0,0.0,1.0
6565.0,0.31666666666666665,0.22
6567.0,0.6666666666666666,0.22
12011.0,0.26,0.7033333333333334
12013.0,0.15,0.7833333333333333
7975.0,0.5466666666666666,0.15333333333333332
7977.0,0.21,0.6266666666666667
11224.0,0.49666666666666665,0.07
11226.0,0.64,0.36
12804.0,0.3466666666666667,0.4066666666666667
12806.0,0.023333333333333334,0.33
4525.0,0.12,0.88
4527.0,0.0,1.0
4529.0,0.41,0.59
4531.0,0.12,0.88
4835.0,0.8433333333333334,0.15666666666666668
4837.0,0.6266666666666667,0.37333333333333335
5229.0,0.5633333333333334,0.42
5231.0,0.4033333333333333,0.5966666666666667
2144.0,0.4533333333333333,0.44
5947.0,0.9133333333333333,0.08
5949.0,0.35333333333333333,0.22333333333333333
4310.0,0.3566666666666667,0.5633333333333334
4312.0,0.23,0.76
7550.0,0.42333333333333334,0.30333333333333334
7552.0,0.41333333333333333,0.5366666666666666
12007.0,0.45666666666666667,0.5433333333333333
10992.0,0.44,0.11
9430.0,0.0,1.0
9432.0,0.12,0.88
4916.0,0.03333333333333333,0.8166666666666667
1754.0,0.05,0.8566666666666667
1756.0,0.19,0.4166666666666667
7678.0,0.06666666666666667,0.6766666666666666
707.0,0.11333333333333333,0.6333333333333333
709.0,0.5933333333333334,0.32
7376.0,0.03333333333333333,0.9666666666666667
7378.0,0.0,1.0
3260.0,0.0,1.0
3262.0,0.5333333333333333,0.4666666666666667
6170.0,0.23666666666666666,0.33
6172.0,0.0,0.89
13248.0,0.0,0.09
13250.0,0.7233333333333334,0.13333333333333333
2257.0,0.16333333333333333,0.8366666666666667
2259.0,0.15333333333333332,0.8266666666666667
11063.0,0.4766666666666667,0.5233333333333333
11065.0,0.2833333333333333,0.5833333333333334
828.0,0.0,1.0
830.0,0.0,1.0
832.0,0.17666666666666667,0.8233333333333334
834.0,0.3,0.69
2116.0,0.0,1.0
2118.0,0.023333333333333334,0.9766666666666667
2120.0,0.0,0.9666666666666667
2122.0,0.0,0.9066666666666666
6700.0,0.0,1.0
6702.0,0.22666666666666666,0.6833333333333333
5118.0,0.0,0.9733333333333334
5120.0,0.0,0.9733333333333334
7268.0,0.22,0.25
5144.0,0.55,0.37666666666666665
5146.0,0.17,0.6833333333333333
5255.0,0.5066666666666667,0.24666666666666667
5257.0,0.29,0.4866666666666667
3698.0,0.27,0.73
3700.0,0.62,0.38
9179.0,0.2833333333333333,0.7166666666666667
9181.0,0.38,0.62
13292.0,0.6466666666666666,0.29
13294.0,0.45,0.33
9139.0,0.22333333333333333,0.74
6778.0,0.38666666666666666,0.5566666666666666
6780.0,0.4766666666666667,0.47
6868.0,0.013333333333333334,0.6833333333333333
6870.0,0.27,0.5
8519.0,0.49,0.51
8521.0,0.6466666666666666,0.33666666666666667
5595.0,0.6966666666666667,0.2966666666666667
5597.0,0.5,0.15
4141.0,0.02,0.98
4143.0,0.03333333333333333,0.9666666666666667
4170.0,0.0,1.0
4172.0,0.0,1.0
1854.0,0.99,0.01
1856.0,0.9066666666666666,0.08333333333333333
12002.0,0.61,0.35333333333333333
12004.0,0.6733333333333333,0.32666666666666666
11422.0,0.82,0.18
11424.0,0.7133333333333334,0.2866666666666667
9080.0,0.22,0.29333333333333333
9082.0,0.043333333333333335,0.34
8816.0,0.0,1.0
8818.0,0.2966666666666667,0.7033333333333334
8820.0,0.03,0.88
8822.0,0.44666666666666666,0.5533333333333333
13306.0,0.5166666666666667,0.38666666666666666
13308.0,0.28,0.61
7911.0,0.7533333333333333,0.24666666666666667
7913.0,0.41333333333333333,0.35333333333333333
9233.0,0.0,0.9833333333333333
9235.0,0.28,0.6533333333333333
9223.0,0.2,0.7833333333333333
9225.0,0.25333333333333335,0.66
7443.0,0.0,0.9566666666666667
7445.0,0.14333333333333334,0.4766666666666667
7288.0,0.01,0.86
7290.0,0.0,0.9533333333333334
12574.0,0.16,0.84
12576.0,0.0,1.0
10057.0,0.0,0.7233333333333334
2581.0,0.8233333333333334,0.17666666666666667
11563.0,0.0,1.0
9325.0,0.0,0.9366666666666666
9327.0,0.02666666666666667,0.73
4848.0,0.0,1.0
4850.0,0.0,1.0
13099.0,0.15,0.85
13101.0,0.6066666666666667,0.3933333333333333
2534.0,0.0,0.8833333333333333
2536.0,0.0,0.9933333333333333
7071.0,0.0,1.0
7073.0,0.06333333333333334,0.9366666666666666
425.0,0.0,1.0
427.0,0.0,1.0
5816.0,0.0,1.0
11950.0,0.0,0.43
2826.0,0.0,1.0
3044.0,0.12666666666666668,0.7466666666666667
3046.0,0.08,0.8433333333333334
2481.0,0.5066666666666667,0.18666666666666668
